"Name,Accurate Speaking Topics"
"A.J. Peak,DSO Growth & Acquisitions; Practice Scalability; De Novo Dental Startups; Tech in Group Practice Management"
"Adrian McCovy,Diversity in Dentistry; Leadership Empowerment; Practice Culture & Transformation"
"Aleksandra Polcynsky,Dental Implant Market Analysis; Aesthetic Digital Prosthetics; Advanced Dental Ceramics; Digital Workflow Integration"
"Alexander Einbinder,Practice Acquisition; DSO Strategy; Dental Group Operations; Building & Managing Teams"
"Alexander Wuensche,New Dental Materials; Digital Lab Technologies; Equipment Demonstration; Full-Arch Prosthetics"
"Alicia Kieffer,Patient-First Dental Practices; DSO Leadership; Revenue Cycle Innovation; Operational Excellence"
"Allen Robinson,Robotics in Oral Surgery; OMS Technology Integration; Neocis Systems"
"Allison Horn,Dental Marketing Trends; Growth Hacking Dental Brands; Patient Acquisition"
"Amanda Cole Hill,Dental Hygiene; Infection Control; Waterline Safety; CDIPC Standards"
"Arian B. Deutsch, CDT,Removable Prosthetics; Telescopic Implant Solutions; Esthetic Dental Technology Collaboration"
"Arthur W. Curley, JD,Dental/Medical Liability; Healthcare Law; AI in Risk Management; Ethics in Dentistry"
"Avi Weisfogel,Dental Sleep Medicine; Sleep Apnea Practice Growth; Patient Screening for Sleep Disorders"
"Avinash Bidra, BDS, MS, FACP,Implant Prosthodontics; Complex Full-Arch Rehabs; Pterygoid & Zygomatic Implants"
"Brad Billings,Practice Management; Dental Business Models"
"Brandon Dickerman,Lab Equipment Innovations; Hands-On Dental Technology Training"
"Burhan Syed,Dental AI Technology; Automation Solutions for Dental Practices"
"CPT Andrew Egger,Military Periodontics; Clinical Innovation; Research Methods"
"CPT Denise Cacho,Military Periodontics; Periodontal Innovation; Clinical Research"
"CPT Justin Galliani,Military Periodontics; Periodontal Research; Clinical Innovation"
"Cami Luljak,Dental Practice Management; Operational Excellence for DSOs"
"Capt Jess Cayetano,Military Periodontics; Clinical Research; Treatment Innovation"
"Capt Luke Seiler,Military Periodontics; Periodontal Research; Clinical Innovation"
"Capt Victoria Wei,Military Periodontics; Periodontal Innovation; Clinical Research"
"Charles Banh,Digital Full-Arch Workflows; Lab Technology; Straumann Systems Integration"
"Charles Goodacre, DDS, MSD, FACP,Prosthodontics; Fixed and Removable Prosthetics"
"Chick Hoff,DSO and Orthodontic Practice Management; Financial Leadership"
"Christie Fink,Dental Sleep Solutions; Integrated Sleep Dentistry"
"Colleen McFarlin,Practice Management; Specialty Dental Operations"
"Daniel Richards,Dental Practice Management; Practice Growth Strategies"
"Daniel Tataje,Leadership Excellence; Dental Team Coaching"
"Darin Dichter, DMD,Prosthodontics; Removable/Fixed Prosthetics; Advanced Techniques"
"David Sopp,Practice Management; Specialty Growth for Group Practices"
"Dean Tassone,Dental Payor Strategies; Insurance Relations in Group Practice"
"Douglas Benting, DDS, MS, FACP,Prosthodontics; Implant Prosthodontics; Full-Arch Rehabilitation"
"Dr. Acela Martinez,Implant Dentistry; Digital Dentistry; 3D Printing in Periodontics; Bone Regeneration"
"Dr. Adam Saltz,Periodontology; Public Health in Periodontics; Interdisciplinary Collaboration"
"Dr. Agne Malisauskiene,Direct Anterior Restorations; Minimally Invasive Techniques"
"Dr. Ahmad Kutkut,Implant Complications; Tooth Condition Changes; Decay Prevention"
"Dr. Ahmet Orgev,AI in Implant Dentistry; Current Trends in AI Integration"
"Dr. Alan S. Law,Endodontics; Root Canal Therapy; Innovations in Endodontics"
"Dr. Alex Gillone,Periodontics; Implant Surgery; Regenerative Procedures"
"Dr. Alexandra Tsigarda,Peri-Implantitis; Periodontal Regeneration; Microbiology; Implant Decontamination"
"Dr. Algirdas Puisys,Peri-Implantitis Treatment; Complication Management"
"Dr. Allie Rascon,Periodontics; Implant Dentistry; Regenerative Therapy; Digital Dentistry; Full Arch Rehabilitation"
"Dr. Allison Rascon,General & Digital Dentistry; Patient-Centered Care"
"Dr. Alonso Carrasco-Labra,Evidence-Based Dentistry; AI-Powered Research; Systematic Reviews"
"Dr. Alvaro Blasi,Interdisciplinary Orthodontics; Complex Case Management"
"Dr. Aman S. Bhullar,Full-Time Implantology; Practice Management; Dental Business Development"
"Dr. Amanda Finger Stadler,Periodontal Education; Assessment Standards in Dental Curriculum"
"Dr. Amara Abreu-Serrano,Cleft Lip/Palate Specialist; Lateral Incisor Management in Cleft Patients"
"Dr. Amel Hassan,Affordable Dentures & Implants; Practice Growth"
"Dr. Andrea Ravida,Peri-implantitis Management; Surgical Therapy; Prosthetic Rehabilitation"
"Dr. Andrea Ricci,Restoration of Terminal Dentition; Implant Prosthodontics"
"Dr. Andy Burton,Restorative Dentistry; Modern Esthetic Techniques"
"Dr. Angel Garcia-Cańas,Implant Dentistry; Contemporary Techniques; Innovation in Young Professionals"
"Dr. Angela A. Palaiologou-Gallis,Periodontology; Clinical Education; Board Preparation"
"Dr. Anna Singh,General Dentistry; Strategic Operations"
"Dr. Anthony Kofoworola-Kuti,General Dentistry; Clinical Practice Management"
"Dr. Anthony Sallustio,Prosthodontics; Full Arch Immediate Load; Digital Treatment Solutions"
"Dr. Anton Sculean,Periodontal Regeneration; Wound Healing; Advanced Periodontology"
"Dr. Antonia Kolokythas,Complex Craniofacial Reconstruction; Oral & Maxillofacial Surgery"
"Dr. Arian B. Deutsch,Telescopic Prosthodontics; Precision Removables; Implant Lab Collaboration; Full-Arch Solutions"
"Dr. Armand Bedrossian,Digital Dentistry; Full Arch Implant Therapy; Digital Workflows; Advanced Technology"
"Dr. Arndt Guentsch,Periodontology; Research in Periodontal Therapy"
"Dr. Athena Goodarzi,All-on-X Implants; Zygomatic & Pterygoid Implants; Full-Arch Rehab; Complex Implantology"
"Dr. Avinash Bidra,Implant Prosthodontics; Full-Arch Fixed Prosthodontics; Complex Implant Cases"
"Dr. Antonia Kolokythas,""Complex Craniofacial Reconstruction; Maxillofacial Surgery; Surgical Innovations"""
"Dr. Arian B. Deutsch,""Conical & Telescopic Prosthodontics; Removable Prosthodontics; Laboratory-Clinician Collaboration"""
"Dr. Armand Bedrossian,""Digital Technology; Full Arch Implant Therapy; Clinical Applications; Digital Workflows"""
"Dr. Arndt Guentsch,""Periodontology; Periodontal Disease Research; Interdisciplinary Periodontics"""
"Dr. Athena Goodarzi,""All-on-X Implants; Zygomatic Implants; Pterygoid Implants; Full Mouth Rehabilitation; Complex Implantology"""
"Dr. Avinash Bidra,""Implant Prosthodontics; Pterygoid Implants; Full-Arch Fixed Prosthodontics; Advanced Prosthetics"""
"Dr. Azadeh Amy Khajavi,""Ceramic Zirconia Implants; Holistic Dentistry; Biocompatible Implant Solutions"""
"Dr. Azam Saeed,""Digital Implantology; All-on-4 Treatment; Zygomatic Implants; Pterygoid Implants; Trans-Nasal Implants"""
"Dr. Bach T. Le,""Clinical Practice; Point-Counterpoint Debates; Evidence-Based Dentistry; Surgical Protocols"""
"Dr. Baldwin W. Marchack,""Implant Restoration Management; Abutment Screw Complications; Prosthetic Solutions; Practice Risk Reduction"""
"Dr. Bart Silverman,""Implant Complications; Prevention; Management; Surgical Techniques"""
"Dr. Beatriz Bezerra,""Periodontology & Research; Periodontal Regeneration; Clinical Studies in Gum Disease"""
"Dr. Ben Kellum,""Full Arch Implant Procedures; Complex Oral Rehabilitation; Immediate Load Solutions"""
"Dr. Benjamin Pliska,""Sleep Medicine; Dental Sleep Solutions; Orthodontics & Sleep Collaboration"""
"Dr. Berfin Jacobs,""Implant Dentistry; Clinical Research; Contemporary Techniques; Research Methods; Evidence-Based Practice"""
"Dr. Berfin K. Jacobs,""Oral and Maxillofacial Surgery; Surgical Planning; Craniofacial Pathology"""
"Dr. Bijal Mehta,""Dental Leadership; Leadership Development; Practice Growth"""
"Dr. Bindu Dukka,""Periodontology & Public Health; Community Oral Health; Epidemiology"""
"Dr. Bradley Ross,""Periodontology; Gum Disease Therapy; Surgical Periodontics"""
"Dr. Brent Barta,""Clinical Leadership; Dental Team Building; Office Culture"""
"Dr. Brett Kessler,""Periodontology; Regenerative Periodontal Procedures"""
"Dr. Brian J. Jackson,""Implant Surgery and Reconstructive Dentistry; Full-Arch Rehabilitation; Advanced Implant Surgery"""
"Dr. Bruce G. Freund,""Facial Cosmetics; Injectable Pharmacologics; Cosmetic Dental Procedures"""
"Dr. Bryan Basom,""General Dentistry; Practice Startups; Patient Communications"""
"Dr. Bryan J. Frantz,""Periodontology; Dental Implants; Periodontal Disease Management"""
"Dr. Caitlin Darcey,""Periodontology & Medical Education; Integrated Curriculum; Clinical Dental Education"""
"Dr. Cara Minichetti,""Implant Dentistry; Oral Surgery; Interdisciplinary Case Management"""
"Dr. Carlos Aparicio,""Zygomatic Implants; ZAGA Concept; 3D Model Surgery; Maxillofacial Reconstruction"""
"Dr. Carlos Parra Carrasquer,""Periodontology; Board Preparation; Clinical Periodontics"""
"Dr. Carlos de Carvalho,""Adhesive Rehabilitation; Esthetic Dentistry; Advanced Prosthodontics"""
"Dr. Carol Lefebvre,""Leadership Development; Executive Coaching; Team Effectiveness"""
"Dr. Carter Reeves,""Dental Sleep Medicine; Sleep-related Breathing Disorders"""
"Dr. Catrise Austin,""Patient-First Care; Dental Practice Growth; Patient Experience Improvement"""
"Dr. Charles A. Powell,""Periodontology; Clinical Education; Board Preparation for Periodontists"""
"Dr. Christian Coachman,""Digital Smile Design; Esthetic Rehabilitation; Cosmetic Dentistry"""
"Dr. Christian Hart,""Full Arch Implant Dentistry; Prosthodontics; Surgical Restoration"""
"Dr. Christopher Brendemuhl,""General Dentistry; Hospital-Based Dental Care; Clinical Chair Leadership"""
"Dr. Christopher Petrush,""Implant Dentistry; Bone Grafting; Advanced Oral Surgery"""
"Dr. Christopher R. Richardson,""Periodontal Regeneration; Tissue Engineering; Advanced Periodontal Procedures"""
"Dr. Chun-Teh Lee,""Periodontology & AI Research; Dental Informatics; Clinical Trials in Periodontology"""
"Dr. Clark Damon,""All-on-4 Treatment; Zygomatic Implants; Full Arch Restoration; Surgical Training"""
"Dr. Craig I. Aronson,""Implant Surgery; Cosmetic Dentistry; Restorative Dentistry"""
"Dr. Craig M. Misch,""Complication Prevention; Management of Dental Complications; Risk Assessment"""
"Dr. Craig Misch,""Oral Surgery; Implant Site Preparation; Surgical Protocols"""
"Dr. Curry Leavitt,""Periodontics; Implant Surgery; Complex Full Arch Cases; Advanced Periodontal Therapy"""
"Dr. Cyrus Lee,""Dental Practice Operations; Dental Executive Leadership; Kaiser Permanente Clinical Standards"""
"Dr. Dan Holtzclaw,""Extramaxillary Implants; Remote Anchorage; Implant Complications; Advanced Surgery"""
"Dr. Daniel Buser,""Implant Surgery and Bone Regeneration; Periodontal Surgery; Evidence-based Dental Implants"""
"Dr. Daniel Domingue,""Digital Workflows; Dental Implant Surgery; Clinic-to-Lab Integration"""
"Dr. Daniel R. Cullum,""Oral and Maxillofacial Surgery; Advanced Surgical Techniques; Implant Education"""
"Dr. David A. Fenton,""Emergency Dental Management; Anesthesia Training; Oral Surgery Education"""
"Dr. David A. Scott,""Periodontal Research & Pharmacology; Drug Mechanisms in Periodontics"""
"Dr. David L. Cochran,""Periodontics & Implantology; Implant Success; Tissue Regeneration"""
"Dr. David Lipton,""Periodontics; Dental Implants; Regenerative Therapy; Soft Tissue Grafting; Esthetic Procedures"""
"Dr. David M. Kim,""Periodontology & Research; Periodontal Surgery; Clinical Study Design"""
"Dr. David Norré,""Full Arch Restoration; Complex Restorative Cases; Implant-supported Prosthetics"""
"Dr. David P. Mathews,""Periodontal-Prosthodontic Collaboration; Interdisciplinary Patient Care"""
"Dr. David Resnick,""Surgical Procedures; Bone Reconstruction; Implant Therapy"""
"Dr. David T. Wu,""Periodontology & Tissue Engineering; Regenerative Periodontics; Clinical Periodontal Research"""
"Dr. David Wands,""Leadership in Dentistry; Academy Leadership; Dental Education Legacy"""
"Dr. DeVonte Johnson,""Access to Care; Community Dental Advocacy; Oral Health Equity"""
"Dr. Dean Morton,""Advanced Prosthodontics; Prosthodontic Innovation and Discussions"""
"Dr. Dennis Tarnow,""Periodontology & Implant Dentistry; Surgical Innovations; Clinical Education"""
"Dr. Devorah Schwartz-Arad,""Periodontal Regeneration; Implant Dentistry; Soft/Hard Tissue Reconstruction"""
"Dr. Diana V. Messadi,""Oral Pathology; Oral Medicine; Diagnosis and Management"""
"Dr. Didier Dietschi,""Adhesive Protocols; Esthetic Restorations; Composite Bonding Techniques"""
"Dr. Diego Velasquez-Plata,""Periodontal Research; Scientific Writing; Editorial Scholarship in Dentistry"""
"Dr. Dimitris N. Tatakis,""Periodontology; Soft Tissue Management; Periodontal Education"""
"Dr. Doaa Adel Khattab,""Periodontics; Implant Dentistry; Advanced Clinical Applications"""
"Dr. Donald J. Provenzale,""Implant Dentistry; Anesthesiology in Dentistry; Reconstructive Procedures"""
"Dr. Donald P. Lewis Jr.,""Anesthesia; Skills Lab Training; Emergency Preparedness in Dental Practice"""
"Dr. Doug Dixon,""Periodontology; Clinical Education; Board Preparation"""
"Dr. Douglas Benting,""Prosthodontics; Implant Prosthodontics; Full-Arch Rehabilitation Solutions"""
"Dr. Drew Phillips,""Dental Implant Surgery; All-on-4 Implants; Digital Dentistry; Sedation Dentistry; Full Mouth Reconstruction"""
"Dr. Duke Heller,""Dental Implant Surgery and Bone Grafting; AAID Educational Standards; Surgical Training"""
"Dr. E. Armand Bedrossian,""Oral and Maxillofacial Surgery; Advanced Surgical Anatomy; Reconstructive Surgery"""
"Dr. Ed McLaren,""Ceramic Technology; Digital Prosthodontics; Esthetic Dentistry; Materials Science"""
"Dr. Ed R. Kusek,""Implant Dentistry; Oral Surgery; Laser Dentistry; Risk Reduction Strategies"""
"Dr. Edgard El Chaar,""Implant Dentistry; Immediate Implant Placement; Business Aspects; Efficient Implant Workflows"""
"Dr. Edmond Bedrossian,""Oral Surgery; Maxillofacial Surgery; Full Arch Implant Rehab; Immediate Loading"""
"Dr. Eduardo Lorenzana,""Periodontal Plastic Surgery; Dental Implant Aesthetics; Regenerative Therapy; Minimally Invasive Grafting"""
"Dr. Effie Ioannidou,""Gender Parity in Dental Academia; Academic Leadership; Diversity in Dentistry"""
"Dr. Emily Letran,""Pediatric Dentistry; Dental Practice Entrepreneurship; Leadership Development"""
"Dr. Emily Vanney,""Dental Operations; Clinical Optimization; DSO Management"""
"Dr. Eric C. Baker,""Practice Growth; Direct to Consumer Strategies; Patient Acquisition & Marketing"""
"Dr. Eric Caron,""CAD-CAM Technology; Digital Removable Partial Dentures; Lab Integration"""
"Dr. Eric Van Dooren,""Perio-Prosthodontics; Complex Prosthetic Cases; Digital Technologies"""
"Dr. Eva Boldridge,""Digital Prosthodontics; Removable Prosthetics; Digital Workflow Integration"""
"Dr. Fadi Hasan,""Periodontology; Regenerative Dental Medicine"""
"Dr. Faisal A. Quereshy,""Oral Surgery Education; Residency Training; Academic Curriculum Development"""
"Dr. Flavia Q. Pirih,""Periodontal Research; Academic Writing; Peer Review in Dental Science"""
"Dr. Frank A. Scannapieco,""Periodontology; Salivary Diagnostics; Oral Microbiome"""
"Dr. Frank Caputo,""Maxillary Sinus Augmentation; Guided Bone Regeneration; Complex Implant Therapies"""
"Dr. Frank M. Spear,""Practice Philosophy; Clinical Communication Skills; Patient-Centric Dental Care"""
"Dr. Frank Schwarz,""Oral Reconstructive Medicine; Regeneration Therapies; Clinical Implant Research"""
"Dr. Frank Tuminelli,""Dental Specialty Recognition; Certification Standards; Specialty Board Navigation"""
"Dr. Galip Gurel,""Aesthetic Dentistry 4.0; Digital Smile Design; Cosmetic Innovation"""
"Dr. Geith Kallas,""General Dentistry; Practice Startups; Multisite Practice Management"""
"Dr. George Arvanitis,""Reconstructive and Implant Dentistry; Full Mouth Rehabilitation"""
"Dr. George Tysowsky,""Economic Impact Analysis; Dental Technologies; Cost-Benefit in New Devices"""
"Dr. Georgios A. Kotsakis,""Periodontal Research; Scientific Writing; Academic Education"""
"Dr. Georgios E. Romanos,""Periodontology; Clinical Periodontal Protocols; Implant Science"""
"Dr. Gerard J. Chiche,""Zirconia Restorations; Esthetic Denture Solutions; Ceramic Systems"""
"German Gallucci,""Prosthodontics; Oral Implantology; Digital Dental Technology; Implant-supported Prostheses"""
"Dr. German O. Gallucci,""Restorative Dentistry; Implant Prosthetics; Chair-based Clinical Research"""
"Dr. Ghida Lawand,""AI in Dentistry; Digital Dentistry; Implant Rehabilitation; Digital Smile Design; Technology Innovation"""
"Dr. Giacomo Fabbri,""Zirconia Restorations; Advanced Ceramic Procedures"""
"Dr. Gian Pietro Schincaglia,""Implant Surgery; Maxillary Reconstruction; Compromised Case Solutions"""
"Dr. Gilbert A. Fru,""Clinical Periodontics; Treatment Innovation; Periodontal Research"""
"Dr. Giorgio Tabanella,""Periodontology; Advanced Clinical Techniques; Clinical Research"""
"Dr. Giovanni Zucchelli,""Periodontal Plastic Surgery; Esthetic Periodontal Procedures"""
"Dr. Gonzalo Blasi,""Complex Esthetic Prosthodontics; Prosthetic Planning; Advanced Cases"""
"Dr. Guillermo Chacon,""Digital Treatment Planning; Analog Techniques; State-of-the-Art Approaches"""
"Dr. Gustavo Avila Ortiz,""Periodontal Regeneration; Implant Dentistry; Dental Research"""
"Dr. Gustavo Giordani,""Digital Interdisciplinary Treatment; Collaborative Dental Technologies"""
"Dr. Hamilton M. Sporborg,""AAID Oral Examinations; Assessment Methodologies; Prosthodontic Exams"""
"Dr. Hatice Hasturk,""Periodontology; Microbiome Research; Inflammatory Mechanisms in Dentistry"""
"Dr. Heather Conrad,""Board Certification in Prosthodontics; American Board Protocols"""
"Dr. Henry A. Foerster,""Clinical Periodontics; Periodontal Innovation; Clinical Research Methods"""
"Dr. Hesham Nouh,""Prosthodontics; CAD/CAM Prosthetics; Digital Workflow"""
"Dr. Hiroshi Hirata,""Sedation & Anxiety Management; Safe Sedation Protocols"""
"Dr. Hisham Barakat,""General Dentistry; Clinical Officer Strategies; Guardian Dentistry Operations"""
"Dr. Hom-Lay Wang,""Periodontology & Implant Dentistry; Surgical Techniques; Periodontal Literature"""
"Dr. Homa H. Zadeh,""Periodontology; Research in Periodontal Therapies"""
"Dr. Hongseok An,""Intraoral Scanning; Research in Scanning; Clinical Application; Intraoral Limitations"""
"Dr. Howard Gluckman,""Partial Extraction Therapy; Ridge Preservation; Advanced Surgical Techniques"""
"Dr. Hsun-Liang Chan,""Periodontology & Microsurgery; Minimally Invasive Techniques"""
"Dr. Hussam Batal,""Endosseous Implant Surgery; Surgical Implant Solutions"""
"Dr. Ihab Hanna,""Implant Dentistry and Surgical Training; AAID Courses"""
"Dr. Irina F. F. Dragan,""Periodontology & Business Management; Practice Leadership; Interdisciplinary Collaboration"""
"Dr. Isabella Rocchietta,""Ridge Augmentation; Horizontal and Vertical Bone Grafts"""
"Dr. Issa Hanna,""Cleft and Craniofacial Surgery; Pediatric Maxillofacial Care"""
"Dr. Istvan Urban,""Periodontology; Regeneration Procedures; Sinus Lift Techniques"""
"Dr. Ińaki Gamborena,""Aesthetic Implant Dentistry; Esthetic Zone Challenges"""
"Dr. JB White,""Implant Dentistry; Cosmetic Dentistry; Patient-Focused Care"""
"Dr. Jack G. Caton,""Periodontology; Chronic Periodontitis Management"""
"Dr. Jaideep R. Deshpande,""Advanced Dental Technology; Innovations for Dental Labs"""
"Dr. James Anderson,""Periodontics Department Leadership; Clinical Educational Strategies"""
"Dr. James Fetsch,""Dental Implants; Full-Mouth Reconstruction; Sedation Dentistry; 3D Imaging; Comprehensive Dentistry"""
"Dr. James L. Rutkowski,""Sedation; Perioperative Care; Anesthetic Approaches in Implants"""
"Dr. James Mah,""Orthodontics; 3D Imaging; CBCT; Craniofacial Disorders; Digital Orthodontics"""
"Dr. James Nager,""Implant Surgery; Oral Conscious Sedation; Clinical Implantology"""
"Dr. James W. Willis,""Patient-Centered Care; Enhanced Patient Communication"""
"Dr. Janice Wang,""Implant Dentistry; Surgical Procedures; AAID Implant Protocols"""
"Dr. Jason Genta,""Smile Brands; Practice Management; Dental Group Operations"""
"Dr. Jason Kim,""Implant Dentistry; Dental Aesthetics; Prosthodontics"""
"Dr. Jasper Thoolen,""Digital Dentistry; Clear Aligner Therapy; Multidisciplinary Treatment; Digital Workflows; Restorative Dentistry"""
"Dr. Jay C. Platt,""Practice Growth; Referral-Based Patient Acquisition; Oral Surgery Collaboration"""
"Dr. Jay M. Neugarten,""Virtual Surgical Planning; Custom Implants; Orthognathic Surgery"""
"Dr. Jeff Briney,""Laser Dentistry; Surgical Dentistry; Facial Aesthetics; Digital Workflows; Comprehensive Dentistry"""
"Dr. Jeff Rouse,""Pathway Wear; Occlusal Disease; Prosthodontics"""
"Dr. Jeffrey A. Rossmann,""Periodontology; Board Certification Preparation; Clinical Education"""
"Dr. Jeffrey B. Carter,""Artificial Intelligence in Dentistry; Practice Automation; Data-Driven Innovation"""
"Dr. Jeffrey McClendon,""Airway Orthodontics; Interdisciplinary Airway Management"""
"Dr. Jennifer Bain,""Periodontology; Board Preparation; Clinical Education"""
"Dr. Jennifer H. Doobrow,""Periodontology; Surgical Periodontal Therapy; Soft Tissue Management"""
"Dr. Jim Janakievski,""Segmental Osteotomy; Surgical Planning; Clinical Innovations"""
"Dr. Jimmie L. Harper Jr.,""Anesthesia Training; Emergency Protocols; Oral Surgery Team Readiness"""
"Dr. Jin Y. Kim,""Saving Teeth; Implant Preservation; Advanced Preservation Therapy"""
"Dr. Joan Otomo Corgel,""Periodontology & Public Health; Oral-Systemic Health Integration"""
"Dr. Joan Pi-Anfruns,""Oral and Maxillofacial Surgery; Surgical Case Management"""
"Dr. John A. Svirsky,""Oral Pathology; Oral Medicine; Clinical Diagnosis"""
"Dr. John C. Kois,""Bruxism Management; Prosthodontic Decision Making"""
"Dr. John C. Minichetti,""Implant Dentistry; Oral Surgery; Practice Integration"""
"Dr. John F. Caccamese Jr.,""Cleft and Craniomaxillofacial Care; Surgical Decision Making"""
"Dr. John Minichetti,""Implant and Reconstructive Dentistry; Implant Complications"""
"Dr. John Sorensen,""Clinical Prosthodontics; Digital Technology Validation; Digital Materials"""
"Dr. Jonathan Esquivel,""Perio-Prosthodontic Integration; Interdisciplinary Treatment; Periodontal Complexities"""
"Dr. Jonathan Tai,""Clinical Periodontics; Innovation in Periodontal Therapy"""
"Dr. Jonathan Tsang,""Complex Implant Techniques; Implant Therapy Complications"""
"Dr. Joseph Leonetti,""Oral Surgery and Implant Education; Surgical Mentorship"""
"Dr. Junji Tagami,""Bonding Procedures; Restorative Adhesives; Materials Science"""
"Dr. Kamal F. Busaidy,""Emergency Airway Management; Office Emergencies; Simulation Training"""
"Dr. Karim El Khouly,""Periodontal Surgery; Digital Treatment Planning; Regenerative Therapies; LANAP Laser Therapy; Implant Dentistry"""
"Dr. Karl Jepsen,""Periodontology Research; Bone Structure Studies"""
"Dr. Kathryn Alderman,""DSO Strategy; Local Market Strategies; Dental Group Management"""
"Dr. Katie Lee,""Orthodontics; CBCT Analysis; Contemporary Treatments; Research; Comprehensive Care"""
"Dr. Katja Nelson,""Oral and Maxillofacial Surgery; Academic Leadership"""
"Dr. Kayleigh E. Temple,""Periodontology & Dental Hygiene Education; Curriculum Development"""
"Dr. Keith Long,""Implant Dentistry; Advanced Implant Placement"""
"Dr. Kevin Brown,""Periodontics; Clinical Instruction"""
"Dr. Kimberly Schlam,""Esthetic Dentistry; Technology Integration; Digital Workflows; Predictable Outcomes; Tech-Driven Care"""
"Dr. Kostas Chochlidakis,""Full Arch Prosthodontics; Digital Dentistry; Comprehensive Rehabilitation"""
"Dr. Kumar Subramanian,""Periodontal Surgery; Interdisciplinary Treatment"""
"Dr. Kwan M. Lee,""Implant Dentistry; Oral Surgery; Surgical Protocols"""
"Dr. Lane T. Knight,""Anesthesia Education; Emergency Response; Clinical Team Training"""
"Dr. Larissa Trojan,""Digital Implant Dentistry; Bioengineering; Orthodontics; Clinical Research; AI Technology"""
"Dr. Larry Brecht,""Prosthodontics; Maxillofacial Prosthetics; Cleft Palate Reconstruction; Nasoalveolar Molding"""
"Dr. Larry E. Stigall,""Emergency Airway Simulation; Training Programs; Dental Emergency Protocols"""
"Dr. Laura Williams,""Periodontics; University-Level Teaching"""
"Dr. Lawrence E. Brecht,""Maxillofacial Prosthetics; Clinical Prosthetic Applications"""
"Dr. Lawrence Nalitt,""Implant Surgery; General Dentistry; Integrated Care"""
"Dr. Lea Hachem,""Periodontology & Implant Surgery; Clinical Research; FICD Collaboration"""
"Dr. Likith V. Reddy,""Obstructive Sleep Apnea Surgery; Modern Diagnostics"""
"Dr. Liliana E. Aranguren,""Clinical Innovation in Periodontology; Multidisciplinary Periodontal Care"""
"Dr. Lily Garcia,""Dental Association Leadership; Navigating National Forums"""
"Dr. Lily Hu,""Implant Prosthetic Principles; Anesthesia Protocols"""
"Dr. Lisa Taylor,""Periodontics; Faculty Development"""
"Dr. Loren Israelsen,""Positive Impact Dental Alliance; Practice Leadership"""
"Dr. Lorenzo Breschi,""Adhesive Technology; Restorative Materials Science"""
"Dr. Lorenzo Mordini,""Periodontology; Advanced Periodontal Therapies"""
"Dr. Lorenzo Tavelli,""Periodontal Plastic Surgery; Microsurgical Techniques; Soft Tissue Grafting; Minimally Invasive Procedures"""
"Dr. Louis K. Rafetto,""Office-Based Anesthesia; Emergency Airway Management; Training Program Development"""
"Dr. Louis Kaufman,""General Dentistry; Practice Development"""
"Dr. Luca Cordaro,""Full Arch Implant Rehabilitation; Tilted Implants in Maxilla"""
