"Name,Accurate Speaking Topics"
"Dr. Luciana M. Shaddox,""Periodontal Research; Scientific Writing"""
"Dr. Luiz Gonzaga,""Complete-Arch Implant Rehabilitation; Digital Workflows; Interdisciplinary Treatment Planning; ITI Education"""
"Dr. Mahtab Sadrameli,""Dental Team Management; Team Development; Practice Leadership"""
"Dr. Manrique Fonseca,""Reconstructive Dentistry; Implant Dentistry; Digital Workflows; Research and Development"""
"Dr. Manu Chaudhry,""Dental Leadership Development; Success Strategies"""
"Dr. Marco Ferrari,""Digital Prosthodontic Materials; Restorative Studies; Clinical Outcomes"""
"Dr. Marco Veneziani,""Posterior Restorations; Advanced Restorative Dentistry"""
"Dr. Maria Elisa Galarraga-Vinueza,""Peri-implantitis; Biomaterials; Bone Regeneration; Implant Research and Innovation"""
"Dr. Maria Emanuel Ryan,""Periodontology Research; Clinical Studies"""
"Dr. Maria Kunstadter,""TeleDentistry; General Dentistry; Digital Transformation"""
"Dr. Maria Rodriguez,""Periodontics; Academic Periodontology"""
"Dr. Mariam Margvelashvili-Malament,""Restorative vs Implant Therapy; Prosthodontic Decision Making"""
"Dr. Marianna Evans,""Midfacial Expansion; Airway Orthodontics"""
"Dr. Mariano Polack,""Prosthodontics and Implant Dentistry; Full-Arch Restorations"""
"Dr. Marie C. Schweinebraten,""Practice Management; Insurance Strategies; Office Efficiency"""
"Dr. Mariz Tanious,""AI in Clinical Practice; Digital Innovations in Dentistry"""
"Dr. Mark Lowe,""Orthodontics; Invisalign; Adult Orthodontics; Clear Aligner Therapy"""
"Dr. Mark Montana,""Digital Occlusion; Prosthodontics in the Digital Age"""
"Dr. Mark Schlam,""Oral Surgery; Full Arch Rehabilitation; Advanced Surgical Procedures"""
"Dr. Markus Hürzeler,""Implant Aesthetics; Periodontics"""
"Dr. Marta Revilla León,""Virtual Patient Technology; Digital Dentistry Advances"""
"Dr. Martin Mendelson,""Practice Management; Dental Team Communication"""
"Dr. Massimo Costalonga,""Periodontal Research; Scientific Publishing; Clinical Reviews"""
"Dr. Matt Carlston,""Team Building; Recruitment and Retention Strategies"""
"Dr. Matthew Fay,""Sleep Medicine; OSA Management; Sleep Disorder Treatment"""
"Dr. Matthew Fien,""Periodontology; Clinical Periodontal Therapy"""
"Dr. Melissa Shotell,""Digital Orthodontics; Clear Aligner Therapy; AI Technology; Remote Monitoring"""
"Dr. Mia L. Geisinger,""Periodontology; AAP Leadership; Evidence-Based Periodontal Care"""
"Dr. Michael A. Pikos,""Full-Arch Therapy; Digital Workflows; Treatment Protocols"""
"Dr. Michael Cohen,""Periodontics; Implant Dentistry; Interdisciplinary Treatment Planning; Full-Mouth Rehabilitation; Bone Grafting"""
"Dr. Michael D. Scherer,""Full-Arch Implantology; Fixed vs Removable Prosthodontics; Practice Management"""
"Dr. Michael Gunson,""Airway and Smile Integration; Surgical-Orthodontic Synergy"""
"Dr. Michael K. McGuire,""Periodontology; Evidence-Based Periodontal Treatments"""
"Dr. Michael Pikos,""Periodontology; Implant Surgery; Academic Instruction"""
"Dr. Michael R. Andersen,""Prosthodontics & Maxillofacial Prosthetics; Complex Oral Rehabilitation"""
"Dr. Michael Reddy,""Academic Dentistry Leadership; Curriculum Innovation"""
"Dr. Michael Richard Ragan,""Periodontology & Legal Practice; Dental Risk Management"""
"Dr. Michael Shulman,""Implant Placement; Oral Surgery; Training Strategies"""
"Dr. Michael Sterling,""Anxiety Management; Sedation in Periodontology"""
"Dr. Mijin Choi,""Prosthodontics Leadership; Professional Society Governance"""
"Dr. Mike Panahi,""General Dentistry; Operations Management"""
"Dr. Miles Madison,""Periodontology; Gum Disease Management"""
"Dr. Minh Tran,""Digital Software; Workflow Optimization; Lab Technology"""
"Dr. Mohamed Wagdy Bissar,""Sub-periosteal Implants; Compromised Ridge Solutions"""
"Dr. Monica P. Gibson,""Periodontal Education & Research; Academic Mentorship"""
"Dr. Mostafa Altalib,""Orthodontics; Sleep Medicine; Cleft Lip/Palate; Pediatric OSA; Invisalign"""
"Dr. Mostafa Altalibi,""Complex Esthetic Cases; Digital Treatment Design"""
"Dr. Muhammad H. Saleh,""Periodontal Regeneration; Advanced Periodontal Therapy"""
"Dr. Nada Souccar,""Periodontology & Orthodontics; Interdisciplinary Integration"""
"Dr. Naif Sinada,""Prosthodontics; Digital Dentistry; Maxillofacial Prosthetics; 3D Printing"""
"Dr. Nakul Rathi,""Prosthodontics; Implant Dentistry; Full Mouth Rehabilitation"""
"Dr. Natasha Furchtgott,""Craniomaxillofacial Surgery; Cleft Care; Pediatric Oral Surgery"""
"Dr. Nathan Doyel,""Digital All-on-X; Team Education; Clinical Case Presentation"""
"Dr. Nikolaos Soldatos,""Periodontology; Implant Surgery; Clinical Research"""
"Dr. Nimesh Patel,""General Dentistry; Practice Operations"""
"Dr. Nitzan Bichacho,""Cervical Contouring; Prosthodontic Innovations"""
"Dr. Oded Bahat,""Tissue Reconstruction; Advanced Oral Surgical Techniques"""
"Dr. Oliver Pin-Harry,""Prosthodontics & Interdisciplinary Care; Complex Case Management"""
"Dr. Oscar González-Martin,""Perio-Prostho Treatment; Multidisciplinary Periodontal & Prosthodontic Cases"""
"Dr. Owais A. Farooqi,""Clinical Periodontics; Innovative Treatments; Clinical Research"""
"Dr. Panos N. Papapanou,""Periodontology; Epidemiological Periodontal Research"""
"Dr. Panos Papaspyridakis,""Prosthodontics; Implant Dentistry; Full Arch Rehabilitation; Digital Workflows"""
"Dr. Panos Papaspyridakos,""Digital Workflow; Implant Prosthodontics; Comprehensive Digital Treatment"""
"Dr. Paul Fugazzotto,""Periodontology; Implant Reconstruction; Regenerative Therapy"""
"Dr. Paul Goodman,""Patient Impact; Practice Growth; Implant Dentistry"""
"Dr. Paul J. Schwartz,""Emergency Medicine; Airway Management; Crisis Leadership"""
"Dr. Paul S. Rosen,""Periodontology & Implant Dentistry; Advanced Implant Therapy"""
"Dr. Paul S. Tiwana,""Oral and Maxillofacial Surgery; Surgical Case Planning; Craniomaxillofacial Care"""
"Dr. Paulo Carvalho,""Oral and Maxillofacial Surgery; Facial Reconstruction"""
"Dr. Peter A. Vellis,""Emergency Airway Management; Anesthesia Protocols; Skills Training"""
"Dr. Peter C. Fritz,""Periodontology & Legal Medicine; Dental Risk Management"""
"Dr. Peter Rivoli,""Practice Adaptation Strategies; Change Management"""
"Dr. Peter T. Green,""Oral & Maxillofacial Radiology; Diagnostic Imaging"""
"Dr. Peter Wohrle,""Implant Reconstruction; Aesthetic Implant Dentistry"""
"Dr. Peyman Raissi,""Full Mouth Reconstruction; Same-Day Transformations; Digital Lab Management"""
"Dr. Phil Walton,""Digital Implants; Guided Workflows; Full Arch Rehabilitation; Implant Technology"""
"Dr. Philip Kang,""Periodontology; Periodontal Therapy"""
"Dr. Philippe Hujoel,""Oral Health Sciences; Evidence-Based Dentistry"""
"Dr. Pierpaolo Cortellini,""Periodontology & Regeneration; Periodontal Surgical Techniques"""
"Dr. Purnima Kumar,""Periodontal Microbiology; Regenerative Medicine"""
"Dr. Rachana Hegde,""Implant Maintenance; Team Education; Clinical Systems"""
"Dr. Rafael Siqueira,""Periodontology; Clinical Research"""
"Dr. Rami Salloum,""Implant Dentistry; Full-Arch Restorations; Digital Implant Technology"""
"Dr. Ramon Gomez-Meda,""Biological Stability; Prosthodontic Outcomes"""
"Dr. Ramsey Amin,""Subperiosteal Implants; CAD/CAM Technology; Severely Resorbed Ridges"""
"Dr. Ramzi V. Abou-Arraj,""Periodontology & Implant Dentistry; Regenerative Procedures"""
"Dr. Renato Cocconi,""Interdisciplinary Orthodontic Treatment; Collaborative Care"""
"Dr. Ricardo Kern,""Esthetic Implantology & Prosthodontics; Complex Implant Cases"""
"Dr. Ricardo Mitrani,""Oral and Maxillofacial Surgery; Full-Smile Rehabilitation"""
"Dr. Richard Darveau,""Microbiology & Immunology; Oral Biofilm Science"""
"Dr. Rino Burkhardt,""Microsurgical Periodontology; Minimally Invasive Techniques"""
"Dr. Robert A. Levine,""Soft-Tissue Alternatives; Biologic Modifiers; Evidence-Based Periodontal Practice"""
"Dr. Robert J. Stanley,""Comprehensive Dentistry & Implant Engineering; Implant Complications"""
"Dr. Robert Levine,""Periodontics; Immediate Implant Placement; All-On-4; Peri-implant Disease"""
"Dr. Robert S. Lewando,""Practice Management & Insurance; Dental Compliance"""
"Dr. Robert W. Emery III,""Navigated Surgery; X-Guide Technology; Photogrammetry"""
"Dr. Rocio Beatriz Quinonez,""Periodontal Education & Public Health; Access to Care"""
"Dr. Roderick Stewart,""Advanced Dental Reconstructive Treatment; Complex Restorative Cases"""
"Dr. Roger Arce,""Periodontology & Research; Graduate Training"""
"Dr. Rolf Ewers,""Oral and Maxillofacial Surgery; Craniomaxillofacial Procedures"""
"Dr. Ron Zokol,""Digital Dentistry; Soft Tissue Management"""
"Dr. Ronald Saffar,""Specialty Operations; DSO Operations"""
"Dr. Rooz Khosravi,""Prosthodontics; Advanced Prosthodontic Treatments"""
"Dr. Roozbeh Khosravi,""Orthodontics & Sleep Medicine; Interdisciplinary Collaboration"""
"Dr. Roxanna Esguerra,""Implant Prosthodontics & Phonetics; Complex Prosthetic Design"""
"Dr. Ruben Arebalo,""Prosthodontics; Implant Prosthodontics"""
"Dr. Ryan Dunlop,""Full Arch Implants; Digital Workflows; Immediate Load Protocols"""
"Dr. Sam Bakuri,""Practice Management; Marketing Strategies; Business Development"""
"Dr. Samantha A. Siranli,""Immediate Loading; Full-Arch Implant Protocols; Digital Implantology"""
"Dr. Sami Webb,""Market Strategy; DSO Penetration; Dental Marketing"""
"Dr. Samuel Lynch,""Translational Medicine; Dental Innovation; Entrepreneurship"""
"Dr. Sandra Stuhr,""Periodontal-Prosthodontic Interdisciplinary Care; Team Approach"""
"Dr. Sangiv I. Patel,""Implant Dentistry; Advanced Surgical Procedures"""
"Dr. Sara Mahmood,""Dental Practice Leadership; Patient Experience; Corporate Dental Models"""
"Dr. Sarah Jockin,""Digital Full Arch Implant Procedures; Same-Day Dentistry"""
"Dr. Sarah Knox,""Salivary Gland Preservation; Nerve-Sparing Techniques"""
"Dr. Sarah Lee,""Maxillofacial Prosthodontics; Complex Prosthetic Rehabilitation"""
"Dr. Sascha Jovanovic,""Guided Bone Regeneration; Esthetic Implant Therapy; Soft Tissue Grafting"""
"Dr. Satish S. Kumar,""Periodontal Education & Clinical Training; Faculty Development"""
"Dr. Scott D. Ganz,""3D AI Segmentation; Surgical Design; Digital Implantology"""
"Dr. Sean P. Edwards,""Complete-Arch Implant Rehabilitation; Digital Planning; Scan-to-Smile Technology"""
"Dr. Sebastiano Andreana,""Peri-implantitis Treatment; Surgical and Non-Surgical Techniques"""
"Dr. Sejal Thacker,""Periodontal Regeneration; Tissue Engineering"""
"Dr. Sergio Bernardes,""Implantology; Product Development; Digital Workflows; Biomechanics"""
"Dr. Seth Chambers,""Implant Surgery; Zygomatic Implants; 3D Printing; Full Mouth Rehabilitation"""
"Dr. Shahram Ghanaati,""Oral and Maxillofacial Surgery; Blood Concentrates"""
"Dr. Shankar Iyer,""Implant Dentistry; Evidence-Based Clinical Decisions"""
"Dr. Sharon R. Bannister,""Periodontology; Academic Mentorship"""
"Dr. Shayan Barootchi,""Periodontal Regeneration; Advanced Surgery; Tissue Engineering"""
"Dr. Shuaib Malik,""Oral and Maxillofacial Surgery; Complex Surgical Cases"""
"Dr. Sibera Brannon,""Leadership Resilience; Overcoming Obstacles in Dental Careers"""
"Dr. Sompop Bencharit,""Full-Arch Implant Prosthodontics; Best Practices; Innovation"""
"Dr. Sonia Leziy,""Periodontics; Implant Esthetics; Periodontal Plastic Surgery; Digital Workflows"""
"Dr. Stephanie Ganter,""Periodontology; Surgical Techniques; Multidisciplinary Practice"""
"Dr. Stephanie W. Yeung,""Digital Implant Rehabilitation; Complete-Arch Solutions; Implant Planning"""
"Dr. Stephen J. Chu,""Esthetic Implant Complications; Advanced Prosthodontics"""
"Dr. Steve Chu,""Esthetic Dentistry; Prosthodontics; Smile Design"""
"Dr. Steve D. Shufflebarger,""Sedation Dentistry; Anxiety Management; Periodontology"""
"Dr. Steve Parel,""Implant Prosthodontics; History and Innovation"""
"Dr. Steve Sadowsky,""Teeth vs Implants; Comparative Outcomes"""
"Dr. Steven Morgano,""Prosthodontics & Restorative Sciences; Evidence-Based Restorative Care"""
"Dr. Suheil M. Boutros,""Esthetic Zone Implants; Hard and Soft Tissue Management; Implant Esthetics"""
"Dr. Sukirth M. Ganesan,""Periodontology & Research; Translational Periodontal Science"""
"Dr. Sully Sullivan,""Full Arch Practice Growth; Contemporary Implant Practice"""
"Dr. Susan Somerset,""Periodontology & Pharmacology; Drug-Therapeutic Interactions"""
"Dr. Swati Agnihotri,""Cosmetic and Implant Dentistry; Modern Esthetic Solutions"""
"Dr. Taiseer Sulaiman,""Prosthodontics; Contemporary Approaches"""
"Dr. Tammeka Nickleberry,""General Dentistry; Cosmetic Dentistry; Practice Leadership"""
"Dr. Tara Aghaloo,""Zygomatic Implant Specialist; Complex Surgery Trends"""
"Dr. Tarek Assi,""Digital Dentistry; All-on-X; Precision Implantology"""
"Dr. Tarun Agarwal,""Digital Dentistry; Practice Management; Implant Surgical Guides"""
"Dr. Taylor Jean Manalili,""Prosthodontics & Digital Dentistry; Clinical Protocols"""
"Dr. Thaisa Bordin,""Prosthodontics and Implant Esthetics; Research-Driven Therapy"""
"Dr. Theo Katsaros,""Periodontology; Comprehensive Care"""
"Dr. Thomas D. Taylor,""Implant Dentistry; Oral Surgery; Advanced Prosthodontics"""
"Dr. Timothy A. Hess,""Esthetic Dentistry; Smile Enhancement"""
"Dr. Timothy McVaney,""Practice Management; Patient Experience; Operations"""
"Dr. Todd Scheyer,""Periodontology; Advanced Surgical Therapy"""
"Dr. Tom Deans,""Wealth Management; Generational Wealth Transfer; Financial Strategies"""
"Dr. Tony Rotondo,""Advanced Dental Techniques; Aesthetic Implant Management; Two-Tooth Spaces"""
"Dr. Tuan G. Bui,""Ambulatory Anesthesia; Modern Sedation Techniques; Office-Based Surgery"""
"Dr. Van Ramos Jr.,""Prosthodontics; Digital Prosthodontics; Implant Prosthodontics"""
"Dr. Van Ramos, Jr.,""Prosthodontics; Advanced Restorative Techniques"""
"Dr. Vinay M. Bhide,""Periodontal Surgery; Ridge Augmentation; Bone Grafting"""
"Dr. Vishy Broumand,""Zygomatic Implants; Pterygoid Implants; Maxillofacial Reconstruction; Complex Oral Surgery"""
"Dr. Vivianne Chappuis,""Oral Surgery; Esthetic Implantology; Tissue Management"""
"Dr. Véronique Benhamou,""Periodontology & Systemic Health; Interdisciplinary Education"""
"Dr. Wael Att,""Prosthodontics; Dentofacial Rehabilitation; Digital Workflows; Comprehensive Solutions"""
"Dr. Waldemar D. Polido,""Full-Arch Implants; Implant Controversies; Complex Rehabilitation"""
"Dr. Waldemar Polido,""Maxillofacial Surgery; Zygomatic Implants; Digital Implant Rehabilitation"""
"Dr. Walter C. Chitwood Jr.,""AAID Oral Examinations; Board Certification; Implant Assessment"""
"Dr. Wei-Shao Lin,""Prosthodontics; Clinical Implant Protocols"""
"Dr. Wenche S. Borgnakke,""Periodontal Medicine; Systemic Health Connections"""
"Dr. Will Martin,""Prosthodontics; Full Arch Rehabilitation; Team-Based Implant Care"""
"Dr. William Liang,""Implant Dentistry; MaxiCourse Education; Clinical Leadership"""
"Dr. William V. Giannobile,""Regenerative Medicine; Periodontology; Bone Grafting"""
"Dr. William Victor Giannobile,""Periodontal Regeneration; Tissue Engineering; Innovation"""
"Dr. Yahya Mansour,""General Dentistry; Team Leadership"""
"Dr. Yolanda Natali Raico Gallardo,""Digital Prosthodontics; Guided Implant Surgery; CAD/CAM Technology"""
"Dr. Yota Stathopoulou,""Periodontal Education; Progressive Learning"""
"Dr. Yu Zhang,""Ceramic Technology; Innovative Restorative Materials"""
"Dr. Yusuke Hamada,""Sedation Dentistry; Anxiety Control; Periodontal Practice"""
"Dr. Zeeshan Sheikh,""Periodontology; Regenerative Research; Clinical Innovation"""
"Brandon Dickerman,Lab Equipment,""Lab Equipment, Material Technology, Hands-On Training"","
"Burhan Syed,""Chief Executive Officer and President, Rondah AI"",Technology/AI,Technology/AI"
"CPT Andrew Egger,Military Periodontics,""Military Periodontics, Clinical Innovation, Research Methodology"","
"CPT Denise Cacho,Military Periodontics,""Military Periodontics, Clinical Research, Periodontal Innovation"","
"CPT Justin Galliani,Military Periodontics,""Military Periodontics, Clinical Innovation, Periodontal Research"","
"Cami Luljak,""Senior Director, Operations, Imagen Dental Partners"",Practice Management,Practice Management"
"Capt Jess Cayetano,Military Periodontics,""Military Periodontics, Clinical Research, Treatment Innovation"","
"Capt Luke Seiler,Military Periodontics,""Military Periodontics, Clinical Innovation, Periodontal Research"","
"Capt Victoria Wei,Military Periodontics,""Military Periodontics, Clinical Research, Periodontal Innovation"","
"Chick Hoff,""Vice President and Chief Financial Officer, My Orthodontist"",Practice Management,Practice Management"
"Colleen McFarlin,""Vice President, Specialty Division, Dental Care Alliance"",Practice Management,Practice Management"
"Daniel Richards,""Chief Executive Officer,"",Practice Management,Practice Management"
"Daniel Tataje,Practice Excellence Coach,Leadership Excellence,Leadership Excellence"
"David Sopp,""Chief Development Officer, Specialty Smile Partners"",Practice Management,Practice Management"
"Dean Tassone,""Vice President, Payor Strategy, Dental Care Alliance"",Payor Strategy and Insurance Relations,Payor Strategy and Insurance Relations"
"Jack Marrano,Digital Full-Arch Workflows,""Digital Full-Arch Workflows, Dental Lab Management, Digital Workflows"","
"Jackson Tralongo,Dental Leadership Advisor,Challenge Resolution,Challenge Resolution"
"Jaime Burks,""Senior Director, Operations, Providence Dental Partners"",Practice Management,Practice Management"
"James Cowherd,Business Consultant,Practice Management,Practice Management"
"Jason Coss,Event Coordinator,""Event Coordination, Moderation, Forum Management, Event Planning, Professional Development"",Event Management"
"Jason Huml,DSO Growth Specialist,Specialty Area Development,Specialty Area Development"
"Jason Mann,Leadership Development Coach,Practice Longevity,Practice Longevity"
"Jeffrey Tomcsik,""Chief Executive Officer, Grand Dental Group"",Practice Management,Practice Management"
"Jennifer Brady,Anesthesia Assistance,""Anesthesia Assistance, Team Training, Clinical Support"","
"Jessica Russell,Product Specialist,Product Management,Product Management"
"Jessica Woods,Case Acceptance,""Case Acceptance, Patient Communication, Team Training"","
"Joe Feldsien,""President, Medical, PDS Health"",Healthcare Administration,Healthcare Administration"
"Joseph Kolligian,Dental Professional,Dentistry,Dentistry"
"Judy Kay Mausolf,Team Management & Leadership Expert,""Team Alignment, Burnout Prevention, Staff Retention"","
"Julie Brossoit,Digital Services Specialist,Digital Lab Services,Digital Lab Services"
"Justin Lai,Dental Technology Expert,Digital Dentistry,Digital Dentistry"
"Kalpesh Patel,Dental Professional,Patient-First Care,Patient-First Care"
"Kate Wilson,Practice Sustainability Consultant,Dental Leadership,Dental Leadership"
"Katie Worth,Practice Management Consultant,Dental Practice Operations,Dental Practice Operations"
"Katrina M. Sanders,""RDH, BSDH, M.Ed, RF"",Dental Hygiene & Patient Communication,Dental Hygiene & Patient Communication"
"Kelly Turner,""PME, BA(Kin), RDH"",Dental Hygiene & Periodontal Assessment,Dental Hygiene & Periodontal Assessment"
"LT Jin Hwang,Military Periodontics,""Military Periodontics, Clinical Research, Treatment Innovation"","
"LT Nathan Kobold,Military Periodontics,""Military Periodontics, Clinical Research, Treatment Innovation"","
"LT Sofia Thompson,Military Periodontics,""Military Periodontics, Clinical Innovation, Periodontal Research"","
"Louis Chmura,DSO Innovation Expert,DSO Future Trends,DSO Future Trends"
"Lynda Ricketson,Retention Strategist,Employee Retention,Employee Retention"
"MAJ Toria Koutras,Military Periodontics,""Military Periodontics, Clinical Research, Treatment Innovation"","
"Marisa Notturno,Dental Lab Technician - Digital Technology Leader,""Digital Technology in Dentistry, Prosthodontic Laboratory Techniques, Complex Esthetic Restorations, CAD/CAM Technology, Maxillofacial Prosthetics"",""Dental Laboratory Technology, Digital Dentistry, Prosthodontic Support"""
"Marisa Notturno, CDT,""RDH, MS"",Dental Hygiene & Team Workflows,Dental Hygiene & Team Workflows"
"Mark Censoprano,DSO Future Strategist,DSO Evolution,DSO Evolution"
"Mark Lakis,Chief Executive Officer,Today's Dental Network,Today's Dental Network"
"Mark T. Murphy,Sleep Medicine Consultant,DSO Sleep Integration,DSO Sleep Integration"
"Marlon Brown,Dental Professional,Patient-First Care,Patient-First Care"
"Matthew Simko,""Director, Brand Marketing"",Dental Marketing,Dental Marketing"
"Michael Acierno,""President and Chief Medical Officer, DecisionOne Dental Partners"",Practice Management,Practice Management"
"Michael Beschloss,Presidential Historian & Leadership Expert,""Leadership Lessons, Presidential History, White House Leadership"","
"Michael Wagner,Technical Specialist,MEDENTiKA Systems,MEDENTiKA Systems"
"Michelle Brumfield,DSO Growth Strategist,Competitive Strategy,Competitive Strategy"
"Michelle Flesch,RDH,Dental Coding & Reimbursement,Dental Coding & Reimbursement"
"Michelle Strange,""MSDH, RDH, CDIPC"",Dental Hygiene & Patient Communication,Dental Hygiene & Patient Communication"
"Mike Graham,VP of Sales,""Business Development, Opening Remarks"",Business Development"
"Naoki Hayashi,Dental Technician,Aesthetic Ceramics,Aesthetic Ceramics"
"Natalyn Lewis,Legal & Financial Consultant,Asset Protection & Tax Strategy,Asset Protection & Tax Strategy"
"Nick Murray,Technology Integration Specialist,Dental Technology Implementation,Dental Technology Implementation"
"Nick N. Khalili,""MST, MBA, CM&AA, Chief Financial Officer"",Cornerstone Group,Cornerstone Group"
"Paul Kim,Specialty Integration Expert,Multi-Specialty Practice Management,Multi-Specialty Practice Management"
"Peter Swenson,Chief Executive Officer,Dental Management,Dental Management"
"Prof. Anton Sculean,""DMD, PhD"",Periodontology,Periodontology"
"Prof. Frank Schwarz,DDS,Oral Surgery & Implantology,Oral Surgery & Implantology"
"Prof. Lior Shapira,Professor,Periodontology & International Research,Periodontology & International Research"
"Prof. Mariano Sanz,""MD, DDS, PhD"",Periodontology,Periodontology"
"Prof. Nikolaos Donos,PhD,Periodontology & Implant Dentistry,Periodontology & Implant Dentistry"
"Prof. Tord Berglundh,""DDS, PhD"",Periodontology & Implantology,Periodontology & Implantology"
"Prof. Wim Teughels,""DDS, PhD"",Periodontology & Oral Microbiology,Periodontology & Oral Microbiology"
"Rafael  Pinzon Corral ,dds,Implant Dentistry,Implant Dentistry"
"Raffi Aghvinian,""CDT, Digital Innovation Leader"",3D Printing and Automation,3D Printing and Automation"
"Rashed Din,Specialty Area Manager,DSO Specialty Management,DSO Specialty Management"
"Ray Caruso,DSO Partnership Expert,Dental Practice Partnerships,Dental Practice Partnerships"
"Robyn Gannaway,Sales Consultant,Business Development,Business Development"
"Rose House,""Regional Director, Operations, Illinois, P1 Dental Partners"",Practice Management,Practice Management"
"Sabrina Sennett,Leadership Development Specialist,Driving Practice Success,Driving Practice Success"
"Sam Alawie,""Master Dental Technician & Co-Founder, Beverly Hills Dental Laboratory"",""Dental Laboratory Technology, Crown and Bridge Techniques, Aesthetic Prosthetics, Digital Workflows, Clinical Communications"",""Dental Laboratory Technology, Prosthodontics, Aesthetic Dentistry"""
"Sarah Cottingham,""Chief Operating Officer, Dental Design Studios"",Dental Hygiene,Dental Hygiene"
"Sarah Cottingham, RDH,Registered Dental Hygienist,Dental Leadership,Dental Leadership"
"Shannon B. Williams,Workforce Development Expert,""Workforce Training, Staff Retention, Healthcare Leadership"","
"Slahedinne Zidi,VP Marketing & Education - Straumann Group,""Digital Transformation, Global Market Expansion, Dental Education, Industry Leadership, Healthcare Innovation"",""Industry Leadership, Digital Transformation, Global Strategy"""
"Sodabeh Etminan,""DMD, MPH, Senior Director"",""Oral Health, University of Illinois Mile Square Health Center"",""Oral Health, University of Illinois Mile Square Health Center"""
"Stacia Edmond,Dental Professional,Diversity Leadership,Diversity Leadership"
"Stacy Feffer-Farley,""Co-Founder, Full Arch Sales Academy & Case Acceptance Expert"",""Full-Arch Case Acceptance, Dental Sales Training, Treatment Coordination, Patient Communication, Practice Revenue Growth"",""Practice Management, Sales Training, Full-Arch Dentistry"""
"Stef Simich,DSO Transformation Expert,DSO Evolution Strategy,DSO Evolution Strategy"
"Stephen Floe,Practice Evaluation Expert,Dental Practice Assessment,Dental Practice Assessment"
"Sundeep Rawal,""SVP, Implant Support Services"",Dental Leadership,Dental Leadership"
"Suzie Ramos,DSO Development Consultant,DSO Strategy,DSO Strategy"
"Terri Bradley, CPC,Medical Coding Expert,""Medical Coding, Beyond the Basics Coding, Healthcare Billing"","
"Test User,Senior Surgeon,Oral Surgery,Oral Surgery"
"Tiffany Dufu,Leadership Expert,Executive Leadership & Personal Development,Executive Leadership & Personal Development"
"Tracy Butler,Orthodontist & Same-Day Treatment Specialist,""Orthodontics, Same-Day Braces, Invisalign, Adult Orthodontics, Contemporary Treatments"",""Orthodontics, Same-Day Treatment"""
"Trevor Maurer,Dental Leadership Coach,Leadership Excellence,Leadership Excellence"
"Troy Aikman,""Pro Football Hall of Fame Quarterback, Emmy-nominated Broadcaster, and Voice of ESPN's Monday Night Football"",Celebrity Keynote,Celebrity Keynote"
"Wayne Silverman,""DDS, Chief Dental Officer, Collective Care Dental"",Dental Insurance and Payer Relations,Dental Insurance and Payer Relations"
